coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Sat Jan 12 02:29:17 +0000 2019,,,https://twitter.com/davidmdrucker/status/1083797699395284993,77899,1083913777731510273,,,,en,,false,9591,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",You spelled “racist” wrong. https://t.co/GZOYbERSIi,https://twitter.com/AOC/status/1083913777731510273,Wed Apr 28 22:38:40 +0000 2010,AOC,false,"Congresswoman for NY-14 (the Bronx + Queens). 💯% People-Funded. In a modern, moral, and wealthy society, no American should be too poor to live.",10215,2430981,1363,7883,"Bronx + Queens, NYC",Alexandria Ocasio-Cortez,AOC,6661,,http://www.Ocasio2018.com/,true
,Fri Jan 11 19:35:58 +0000 2019,,,https://wapo.st/2D2Sxv1,78273,1083809761605365765,,,,en,,false,17591,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Three easy ways for the GOP to stop feeling sorry for themselves:
✅ Give honest, working people their pay back
✅ Pass legislation that actually helps people
✅ Stop asking the Koch Brothers’ permission to go to the bathroom
 https://t.co/3uA8pPZ0R4",https://twitter.com/AOC/status/1083809761605365765,Wed Apr 28 22:38:40 +0000 2010,AOC,false,"Congresswoman for NY-14 (the Bronx + Queens). 💯% People-Funded. In a modern, moral, and wealthy society, no American should be too poor to live.",10215,2430981,1363,7883,"Bronx + Queens, NYC",Alexandria Ocasio-Cortez,AOC,6661,,http://www.Ocasio2018.com/,true
,Tue Jan 15 23:15:58 +0000 2019,,,,0,1085314681848377345,,,,en,,,1139,1085313884573986816,sumaya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @sumaya: .⁦@AOC⁩ is on IG live &amp; her insights as a Congresswoman are always 🙌🏼 Today, she urges us to:
1. Reach out to any Fed workers w…",https://twitter.com/AOC/status/1085314681848377345,Wed Apr 28 22:38:40 +0000 2010,AOC,false,"Congresswoman for NY-14 (the Bronx + Queens). 💯% People-Funded. In a modern, moral, and wealthy society, no American should be too poor to live.",10215,2430981,1363,7883,"Bronx + Queens, NYC",Alexandria Ocasio-Cortez,AOC,6661,,http://www.Ocasio2018.com/,true
,Wed Jan 16 03:35:47 +0000 2019,,,,58898,1085380063112105984,AOC,1085378823506587600,138203134,en,,,6519,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Personally, I’m looking forward to digging into the student loan crisis, examining for-profit prisons/ICE detention, and exploring the development of public &amp; postal banking. To start. 🙂",https://twitter.com/AOC/status/1085380063112105984,Wed Apr 28 22:38:40 +0000 2010,AOC,false,"Congresswoman for NY-14 (the Bronx + Queens). 💯% People-Funded. In a modern, moral, and wealthy society, no American should be too poor to live.",10215,2430981,1363,7883,"Bronx + Queens, NYC",Alexandria Ocasio-Cortez,AOC,6661,,http://www.Ocasio2018.com/,true
,Sat Jan 12 04:53:00 +0000 2019,,,,39107,1083949946477383681,AOC,1083948643634344000,138203134,en,,,7538,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Do people realize how insanely dangerous of an idea it is to support *this President* in fabricating a “national emergency” over immigrants, especially when Homeland Security officially assessed the threat level at the southern border “minimal?”

No way. Pressure your Senators.",https://twitter.com/AOC/status/1083949946477383681,Wed Apr 28 22:38:40 +0000 2010,AOC,false,"Congresswoman for NY-14 (the Bronx + Queens). 💯% People-Funded. In a modern, moral, and wealthy society, no American should be too poor to live.",10215,2430981,1363,7883,"Bronx + Queens, NYC",Alexandria Ocasio-Cortez,AOC,6661,,http://www.Ocasio2018.com/,true
,Sat Jan 12 02:36:21 +0000 2019,,,https://twitter.com/DavidMDrucker/status/1083913989795602434,16328,1083915558024814592,,,,en,,false,1013,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Thank you for being open. 
It’s time we call it what it is. https://t.co/gQihn0Szs3",https://twitter.com/AOC/status/1083915558024814592,Wed Apr 28 22:38:40 +0000 2010,AOC,false,"Congresswoman for NY-14 (the Bronx + Queens). 💯% People-Funded. In a modern, moral, and wealthy society, no American should be too poor to live.",10215,2430981,1363,7883,"Bronx + Queens, NYC",Alexandria Ocasio-Cortez,AOC,6661,,http://www.Ocasio2018.com/,true
,Mon Jan 14 16:44:26 +0000 2019,,,,90567,1084853760617312257,,,,en,,,17123,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Journalism isn’t just about the questions you ask, but the questions you don’t.

If you’re a reporter or pundit who has badgered every Dem about “socialism” yet aren’t asking EVERY Republican about what they plan to do about Rep. King’s white supremacy,you’re telling on yourself.",https://twitter.com/AOC/status/1084853760617312257,Wed Apr 28 22:38:40 +0000 2010,AOC,false,"Congresswoman for NY-14 (the Bronx + Queens). 💯% People-Funded. In a modern, moral, and wealthy society, no American should be too poor to live.",10215,2430981,1363,7883,"Bronx + Queens, NYC",Alexandria Ocasio-Cortez,AOC,6661,,http://www.Ocasio2018.com/,true
,Wed Jan 16 15:15:07 +0000 2019,,,https://twitter.com/thehill/status/1085213802499579904,93928,1085556055881457664,,,,en,,false,34319,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","We have secured enough Republican votes in the Senate to reopen government.

Our obstacle now is Mitch McConnell, who won’t call the vote for what seems like 2 reasons:

1. He won’t operate independently of Trump
2. He’s putting his own re-election ahead of 800,000 working people https://t.co/ARMePsObUw",https://twitter.com/AOC/status/1085556055881457664,Wed Apr 28 22:38:40 +0000 2010,AOC,false,"Congresswoman for NY-14 (the Bronx + Queens). 💯% People-Funded. In a modern, moral, and wealthy society, no American should be too poor to live.",10215,2430981,1363,7883,"Bronx + Queens, NYC",Alexandria Ocasio-Cortez,AOC,6661,,http://www.Ocasio2018.com/,true
,Tue Jan 15 21:53:10 +0000 2019,,,http://time.com/5395001/teacher-in-america/,14091,1085293841673043970,AOC,1085293594603339800,138203134,en,,false,2816,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reminder of our current dystopian outcomes: https://t.co/MoZdhbshkL,https://twitter.com/AOC/status/1085293841673043970,Wed Apr 28 22:38:40 +0000 2010,AOC,false,"Congresswoman for NY-14 (the Bronx + Queens). 💯% People-Funded. In a modern, moral, and wealthy society, no American should be too poor to live.",10215,2430981,1363,7883,"Bronx + Queens, NYC",Alexandria Ocasio-Cortez,AOC,6661,,http://www.Ocasio2018.com/,true
,Mon Jan 14 01:36:45 +0000 2019,,,https://twitter.com/shanegoldmacher/status/1084617312949424129,23047,1084625334350344192,,,,en,,false,4089,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Touches on a larger point: w/ low pay, multiple jobs, a burning planet, war on drugs &amp; few protections for the LGBT+, the political status quo has done so little for so many that when regular people win, we don’t feel as though we owe it much of anything at all.

Why not change? https://t.co/xpOOdIcjnR",https://twitter.com/AOC/status/1084625334350344192,Wed Apr 28 22:38:40 +0000 2010,AOC,false,"Congresswoman for NY-14 (the Bronx + Queens). 💯% People-Funded. In a modern, moral, and wealthy society, no American should be too poor to live.",10215,2430981,1363,7883,"Bronx + Queens, NYC",Alexandria Ocasio-Cortez,AOC,6661,,http://www.Ocasio2018.com/,true
